Location of death (city),State,Latitude,Longitude,Agency or agencies involved,Highest level of force
Santa Ana,CA,33.742311,-117.84492,Orange County Sheriff's Office,Vehicle
El Cajon,CA,32.7954703,-116.93582,California Highway Patrol,Vehicle
Richmond,CA,37.9908652,-122.33264,Contra Costa County Sheriff's Office,Vehicle
Culver City,CA,34.010162,-118.41641,Culver City Police Department,Vehicle
Chico,CA,39.718162,-121.71975,Chico Police Department,Vehicle
Orinda,CA,37.8781397,-122.18291,Contra Costa County Sheriff's Office,Vehicle
Orange,CA,33.845723,-117.84318,California Highway Patrol,Vehicle
South Gate,CA,33.9497599,-118.17,Bell Gardens Police Department,Vehicle
Riverside,CA,33.9536703,-117.3832,Riverside Police Department,Vehicle
Beale AFB,CA,39.1186038,-121.38641,Nevada County Sheriff's Office,Vehicle
Encinitas,CA,33.0487761,-117.29425,San Diego County Sheriff's Office,Vehicle
Valley Springs,CA,38.2061313,-120.78989,"Calaveras County Sheriff's Office, California Highway Patrol",Vehicle
Emeryville,CA,37.8285017,-122.28033,San Francisco Police Department,Vehicle
Porterville,CA,36.0651024,-119.00835,"Lindsay Police Department, Tulare County Sheriff's Office, California Highway Patrol",Vehicle
Porterville,CA,36.0651024,-119.00835,"Lindsay Police Department, Tulare County Sheriff's Office, California Highway Patrol",Vehicle
Valley Center,CA,33.2809845,-116.95441,San Diego County Sheriff's Office,Vehicle
Valley Center,CA,33.2809845,-116.95441,San Diego County Sheriff's Office,Vehicle
Delano,CA,35.7656527,-119.32206,U.S. Immigration and Customs Enforcement,Vehicle
Delano,CA,35.7656527,-119.32206,U.S. Immigration and Customs Enforcement,Vehicle
Palmdale,CA,34.5872166,-118.14755,Los Angeles County Sheriff's Department,Vehicle
Claremont,CA,34.119847,-117.70734,California Highway Patrol,Vehicle
Antioch,CA,38.0022316,-121.83934,Contra Costa County Sheriff's Office,Vehicle
Antioch,CA,38.0022316,-121.83934,Contra Costa County Sheriff's Office,Vehicle
Los Angeles,CA,33.9459516,-118.30029,Gardena Police Department,Vehicle
Livingston,CA,37.3911563,-120.73837,Merced Police Department,Vehicle
Malibu,CA,34.025053,-118.77248,Los Angeles County Sheriff's Department,Vehicle
Anaheim,CA,33.8393431,-117.79109,Orange County Sheriff's Department,Vehicle
Anaheim,CA,33.8393431,-117.79109,Orange County Sheriff's Department,Vehicle
Los Angeles,CA,34.0239673,-118.19232,Los Angeles County Sheriff's Department,Vehicle
Perris,CA,33.8011767,-117.22604,Riverside County Sheriff's Department,Vehicle
Los Angeles,CA,34.0239673,-118.19232,Los Angeles County Sheriff's Department,Vehicle
Long Beach,CA,33.8190442,-118.19595,Long Beach Police Department,Vehicle
Rancho Bernardo,CA,33.0186445,-117.07526,U.S. Customs and Border Protection,Vehicle
Rancho Bernardo,CA,33.0186445,-117.07526,U.S. Customs and Border Protection,Vehicle
Rancho Bernardo,CA,33.0186445,-117.07526,U.S. Customs and Border Protection,Vehicle
Ontario,CA,34.0687538,-117.55897,San Bernardino County Sheriff's Office,Vehicle
Daly City,CA,37.689683,-122.46628,Daly City Police Department,Vehicle
Stockton,CA,37.9415112,-121.27054,Stockton Police Department,Vehicle
Santa Ana,CA,33.7155598,-117.89288,Santa Ana Police Department,Vehicle
Sunnyvale,CA,37.3975948,-122.01236,Santa Clara County Sheriff's Office,Vehicle
Hollywood,CA,34.1016656,-118.32237,Los Angeles Police Department,Vehicle
Hollywood,CA,34.1016656,-118.32237,Los Angeles Police Department,Vehicle
Concord,CA,37.968509,-121.96461,Clayton Police Department,Vehicle
Escondido,CA,33.1271978,-117.06552,Escondido Police Department,Vehicle
Escondido,CA,33.1271978,-117.06552,Escondido Police Department,Vehicle
North Highlands,CA,38.690398,-121.38281,Sacramento County Sheriff's Office,Vehicle
Montebello,CA,34.0327936,-118.12505,Montebello Police Department,Vehicle
Tulare,CA,36.2256452,-119.35197,Tulare Police Department,Vehicle
Stockton,CA,38.0211229,-121.33611,Stockton Police Department,Vehicle
Stockton,CA,38.0211229,-121.33611,Stockton Police Department,Vehicle
Petaluma,CA,38.2292318,-122.57048,Petaluma Police Department,Vehicle
National City,CA,32.6798787,-117.08011,San Diego Police Department,Vehicle
Woodland,CA,38.6883268,-121.77049,Woodland Police Department,Vehicle
National City,CA,32.674278,-117.08518,National City Police Department,Vehicle
Torrance,CA,33.8312067,-118.33996,Torrance Police Department,Vehicle
Lake Forest,CA,33.6346113,-117.67759,Orange County Sheriff's Department,Vehicle
Fresno,CA,36.8227461,-119.82628,Fresno County Sheriff's Office,Vehicle
Folsom,CA,38.6776156,-121.17669,Sacramento County Sheriff's Office,Vehicle
Sunnyvale,CA,37.3523554,-122.01222,California Highway Patrol,Vehicle
Roseville,CA,38.797405,-121.30792,Placer County Sheriff's Office,Vehicle
Roseville,CA,38.797405,-121.30792,Placer County Sheriff's Office,Vehicle
Santa Rosa,CA,38.4277298,-122.76912,Santa Rosa Police Department,Vehicle
Stockton,CA,38.0185417,-121.32996,Stockton Police Department,Vehicle
Phelan,CA,34.3060892,-117.44768,Huntington Beach Police Department,Vehicle
Manteca,CA,37.7849399,-121.25139,Manteca Police Department,Vehicle
Bakersfield,CA,35.3520801,-118.954,Bakersfield Police Department,Vehicle
Orland,CA,39.7474507,-122.20543,California Highway Patrol,Vehicle
Pittsburg,CA,38.0142826,-121.91197,Pittsburg Police Department,Vehicle
Lemoore,CA,36.2648817,-119.87136,California Highway Patrol,Vehicle
Lemoore,CA,36.2648817,-119.87136,California Highway Patrol,Vehicle
San Bernardino,CA,34.1008423,-117.31384,San Bernardino County Sheriff's Office,Vehicle
San Bernardino,CA,34.1008423,-117.31384,San Bernardino County Sheriff's Office,Vehicle
Plymouth,CA,38.4576473,-120.92747,California Highway Patrol,Vehicle
Los Angeles,CA,34.0108183,-118.32238,Los Angeles Police Department,Vehicle
San Bernardino,CA,34.1083812,-117.30094,San Bernardino Police Department,Vehicle
Stevinson,CA,37.3276498,-120.85112,Merced County Sheriff's Office,Vehicle
San Francisco,CA,37.7700787,-122.407,California Highway Patrol,Vehicle
San Francisco,CA,37.7700787,-122.407,California Highway Patrol,Vehicle
San Francisco,CA,37.7700787,-122.407,California Highway Patrol,Vehicle
Buena Park,CA,33.855304,-118.01228,California Highway Patrol,Vehicle
Hollywood,CA,34.1016656,-118.32237,Los Angeles Police Department,Vehicle
Hollywood,CA,34.1016656,-118.32237,Los Angeles Police Department,Vehicle
Hesperia,CA,34.4229276,-117.31094,San Bernardino County Sheriff's Office,Vehicle
Moreno Valley,CA,33.9171116,-117.26122,Beaumont Police Department,Vehicle
Encinitas,CA,33.0098668,-117.26632,"U.S. Border Patrol, California Highway Patrol",Vehicle
Encinitas,CA,33.0098668,-117.26632,"U.S. Border Patrol, California Highway Patrol",Vehicle
Encinitas,CA,33.0098668,-117.26632,"U.S. Border Patrol, California Highway Patrol",Vehicle
Antioch,CA,38.0049182,-121.76464,Contra Costa County Sheriff's Office,Vehicle
